unicode,character,courier normal,courier bold,courier italic,courier bold-italic,helvetica normal,helvetica bold,helvetica italic,helvetica bold-italic,times normal,times bold,times italic,times bold-italic
48,"0",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
49,"1",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
50,"2",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
51,"3",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
52,"4",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
53,"5",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
54,"6",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
55,"7",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
56,"8",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
57,"9",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
58,":",0.600,0.600,0.600,0.600,0.278,0.333,0.278,0.333,0.278,0.333,0.333,0.333
59,";",0.600,0.600,0.600,0.600,0.278,0.333,0.278,0.333,0.278,0.333,0.333,0.333
60,"<",0.600,0.600,0.600,0.600,0.584,0.584,0.584,0.584,0.564,0.570,0.675,0.570
61,"=",0.600,0.600,0.600,0.600,0.584,0.584,0.584,0.584,0.564,0.570,0.675,0.570
62,">",0.600,0.600,0.600,0.600,0.584,0.584,0.584,0.584,0.564,0.570,0.675,0.570
63,"?",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.444,0.500,0.500,0.500
64,"@",0.600,0.600,0.600,0.600,1.015,0.975,1.015,0.975,0.921,0.930,0.920,0.832
65,"A",0.600,0.600,0.600,0.600,0.667,0.722,0.667,0.722,0.722,0.722,0.611,0.667
66,"B",0.600,0.600,0.600,0.600,0.667,0.722,0.667,0.722,0.667,0.667,0.611,0.667
67,"C",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.667,0.722,0.667,0.667
68,"D",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722
69,"E",0.600,0.600,0.600,0.600,0.667,0.667,0.667,0.667,0.611,0.667,0.611,0.667
70,"F",0.600,0.600,0.600,0.600,0.611,0.611,0.611,0.611,0.556,0.611,0.611,0.667
71,"G",0.600,0.600,0.600,0.600,0.778,0.778,0.778,0.778,0.722,0.778,0.722,0.722
72,"H",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.722,0.778,0.722,0.778
73,"I",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.333,0.389,0.333,0.389
74,"J",0.600,0.600,0.600,0.600,0.500,0.556,0.500,0.556,0.389,0.500,0.444,0.500
75,"K",0.600,0.600,0.600,0.600,0.667,0.722,0.667,0.722,0.722,0.778,0.667,0.667
76,"L",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.611,0.667,0.556,0.611
77,"M",0.600,0.600,0.600,0.600,0.833,0.833,0.833,0.833,0.889,0.944,0.833,0.889
78,"N",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.722,0.722,0.667,0.722
79,"O",0.600,0.600,0.600,0.600,0.778,0.778,0.778,0.778,0.722,0.778,0.722,0.722
80,"P",0.600,0.600,0.600,0.600,0.667,0.667,0.667,0.667,0.556,0.611,0.611,0.611
81,"Q",0.600,0.600,0.600,0.600,0.778,0.778,0.778,0.778,0.722,0.778,0.722,0.722
82,"R",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.667,0.722,0.611,0.667
83,"S",0.600,0.600,0.600,0.600,0.667,0.667,0.667,0.667,0.556,0.556,0.500,0.556
